"tool","run","parameter","moment","value"
"nm7","17","prob","text","17 phase1 2 CMT like 1004 but diff. initial on V3"
"nm7","17","min","status","0"
"nm7","17","ofv","estimate","2259.20953314819"
"nm7","17","OMEGA1.1","estimate","0.22486"
"nm7","17","OMEGA1.1","prse",NA
"nm7","17","OMEGA2.1","estimate","0"
"nm7","17","OMEGA2.1","prse",NA
"nm7","17","OMEGA2.2","estimate","0.106356"
"nm7","17","OMEGA2.2","prse",NA
"nm7","17","OMEGA3.1","estimate","0"
"nm7","17","OMEGA3.1","prse",NA
"nm7","17","OMEGA3.2","estimate","0"
"nm7","17","OMEGA3.2","prse",NA
"nm7","17","OMEGA3.3","estimate","0.123263"
"nm7","17","OMEGA3.3","prse",NA
"nm7","17","SIGMA1.1","estimate","0.0639251"
"nm7","17","SIGMA1.1","prse",NA
"nm7","17","THETA1","estimate","8.7497"
"nm7","17","THETA1","prse",NA
"nm7","17","THETA2","estimate","21.2961"
"nm7","17","THETA2","prse",NA
"nm7","17","THETA3","estimate","0.0731562"
"nm7","17","THETA3","prse",NA
"nm7","17","THETA4","estimate","3.87017"
"nm7","17","THETA4","prse",NA
"nm7","17","THETA5","estimate","136.591"
"nm7","17","THETA5","prse",NA
"nm7","17","THETA6","estimate","1.1614"
"nm7","17","THETA6","prse",NA
"nm7","17","THETA7","estimate","0.583506"
"nm7","17","THETA7","prse",NA
"nm7","18","prob","text","18 phase1 2 CMT like 1004 but diff. initial on V3"
"nm7","18","min","status","0"
"nm7","18","ofv","estimate","2328.74891948222"
"nm7","18","OMEGA1.1","estimate","0.195018"
"nm7","18","OMEGA1.1","prse",NA
"nm7","18","OMEGA2.1","estimate","0"
"nm7","18","OMEGA2.1","prse",NA
"nm7","18","OMEGA2.2","estimate","0.147182"
"nm7","18","OMEGA2.2","prse",NA
"nm7","18","OMEGA3.1","estimate","0"
"nm7","18","OMEGA3.1","prse",NA
"nm7","18","OMEGA3.2","estimate","0"
"nm7","18","OMEGA3.2","prse",NA
"nm7","18","OMEGA3.3","estimate","0.0936414"
"nm7","18","OMEGA3.3","prse",NA
"nm7","18","SIGMA1.1","estimate","0.0681538"
"nm7","18","SIGMA1.1","prse",NA
"nm7","18","THETA1","estimate","8.33559"
"nm7","18","THETA1","prse",NA
"nm7","18","THETA2","estimate","20.2834"
"nm7","18","THETA2","prse",NA
"nm7","18","THETA3","estimate","0.0679584"
"nm7","18","THETA3","prse",NA
"nm7","18","THETA4","estimate","3.55154"
"nm7","18","THETA4","prse",NA
"nm7","18","THETA5","estimate","88.5747"
"nm7","18","THETA5","prse",NA
"nm7","18","THETA6","estimate","1.01088"
"nm7","18","THETA6","prse",NA
"nm7","18","THETA7","estimate","1.78415"
"nm7","18","THETA7","prse",NA
"nm7","19","prob","text","19 phase1 2 CMT like 1004 but diff. initial on V3"
"nm7","19","min","status","0"
"nm7","19","ofv","estimate","2362.81211874459"
"nm7","19","OMEGA1.1","estimate","0.196977"
"nm7","19","OMEGA1.1","prse",NA
"nm7","19","OMEGA2.1","estimate","0"
"nm7","19","OMEGA2.1","prse",NA
"nm7","19","OMEGA2.2","estimate","0.131618"
"nm7","19","OMEGA2.2","prse",NA
"nm7","19","OMEGA3.1","estimate","0"
"nm7","19","OMEGA3.1","prse",NA
"nm7","19","OMEGA3.2","estimate","0"
"nm7","19","OMEGA3.2","prse",NA
"nm7","19","OMEGA3.3","estimate","0.0997632"
"nm7","19","OMEGA3.3","prse",NA
"nm7","19","SIGMA1.1","estimate","0.0777063"
"nm7","19","SIGMA1.1","prse",NA
"nm7","19","THETA1","estimate","7.99041"
"nm7","19","THETA1","prse",NA
"nm7","19","THETA2","estimate","21.6616"
"nm7","19","THETA2","prse",NA
"nm7","19","THETA3","estimate","0.065731"
"nm7","19","THETA3","prse",NA
"nm7","19","THETA4","estimate","3.88615"
"nm7","19","THETA4","prse",NA
"nm7","19","THETA5","estimate","107.856"
"nm7","19","THETA5","prse",NA
"nm7","19","THETA6","estimate","1.17954"
"nm7","19","THETA6","prse",NA
"nm7","19","THETA7","estimate","1.66335"
"nm7","19","THETA7","prse",NA
"nm7","20","prob","text","20 phase1 2 CMT like 1004 but diff. initial on V3"
"nm7","20","min","status","0"
"nm7","20","ofv","estimate","2802.19504805009"
"nm7","20","OMEGA1.1","estimate","0.217041"
"nm7","20","OMEGA1.1","prse",NA
"nm7","20","OMEGA2.1","estimate","0"
"nm7","20","OMEGA2.1","prse",NA
"nm7","20","OMEGA2.2","estimate","0.0847562"
"nm7","20","OMEGA2.2","prse",NA
"nm7","20","OMEGA3.1","estimate","0"
"nm7","20","OMEGA3.1","prse",NA
"nm7","20","OMEGA3.2","estimate","0"
"nm7","20","OMEGA3.2","prse",NA
"nm7","20","OMEGA3.3","estimate","0.133431"
"nm7","20","OMEGA3.3","prse",NA
"nm7","20","SIGMA1.1","estimate","0.0619264"
"nm7","20","SIGMA1.1","prse",NA
"nm7","20","THETA1","estimate","8.24881"
"nm7","20","THETA1","prse",NA
"nm7","20","THETA2","estimate","23.3316"
"nm7","20","THETA2","prse",NA
"nm7","20","THETA3","estimate","0.0727681"
"nm7","20","THETA3","prse",NA
"nm7","20","THETA4","estimate","4.29262"
"nm7","20","THETA4","prse",NA
"nm7","20","THETA5","estimate","108.55"
"nm7","20","THETA5","prse",NA
"nm7","20","THETA6","estimate","0.991989"
"nm7","20","THETA6","prse",NA
"nm7","20","THETA7","estimate","1.87384"
"nm7","20","THETA7","prse",NA
"nm7","21","prob","text","21 phase1 2 CMT like 1004 but diff. initial on V3"
"nm7","21","min","status","0"
"nm7","21","ofv","estimate","2627.10954696465"
"nm7","21","OMEGA1.1","estimate","0.14162"
"nm7","21","OMEGA1.1","prse",NA
"nm7","21","OMEGA2.1","estimate","0"
"nm7","21","OMEGA2.1","prse",NA
